file,style,beat_time,beat_id
Albums-StrictlyDancing_Tango-04.wav,Tango,0.41,1
Albums-StrictlyDancing_Tango-04.wav,Tango,0.917,2
Albums-StrictlyDancing_Tango-04.wav,Tango,1.417,3
Albums-StrictlyDancing_Tango-04.wav,Tango,1.913,4
Albums-StrictlyDancing_Tango-04.wav,Tango,2.407,1
Albums-StrictlyDancing_Tango-04.wav,Tango,2.9,2
Albums-StrictlyDancing_Tango-04.wav,Tango,3.39,3
Albums-StrictlyDancing_Tango-04.wav,Tango,3.88,4
Albums-StrictlyDancing_Tango-04.wav,Tango,4.37,1
Albums-StrictlyDancing_Tango-04.wav,Tango,4.86,2
Albums-StrictlyDancing_Tango-04.wav,Tango,5.35,3
Albums-StrictlyDancing_Tango-04.wav,Tango,5.84,4
Albums-StrictlyDancing_Tango-04.wav,Tango,6.33,1
Albums-StrictlyDancing_Tango-04.wav,Tango,6.823,2
Albums-StrictlyDancing_Tango-04.wav,Tango,7.323,3
Albums-StrictlyDancing_Tango-04.wav,Tango,7.833,4
Albums-StrictlyDancing_Tango-04.wav,Tango,8.35,1
Albums-StrictlyDancing_Tango-04.wav,Tango,8.863,2
Albums-StrictlyDancing_Tango-04.wav,Tango,9.357,3
Albums-StrictlyDancing_Tango-04.wav,Tango,9.867,4
Albums-StrictlyDancing_Tango-04.wav,Tango,10.38,1
Albums-StrictlyDancing_Tango-04.wav,Tango,10.907,2
Albums-StrictlyDancing_Tango-04.wav,Tango,11.393,3
Albums-StrictlyDancing_Tango-04.wav,Tango,11.893,4
Albums-StrictlyDancing_Tango-04.wav,Tango,12.403,1
Albums-StrictlyDancing_Tango-04.wav,Tango,12.93,2
Albums-StrictlyDancing_Tango-04.wav,Tango,13.443,3
Albums-StrictlyDancing_Tango-04.wav,Tango,13.95,4
Albums-StrictlyDancing_Tango-04.wav,Tango,14.453,1
Albums-StrictlyDancing_Tango-04.wav,Tango,14.95,2
Albums-StrictlyDancing_Tango-04.wav,Tango,15.45,3
Albums-StrictlyDancing_Tango-04.wav,Tango,15.957,4
Albums-StrictlyDancing_Tango-04.wav,Tango,16.47,1
Albums-StrictlyDancing_Tango-04.wav,Tango,16.977,2
Albums-StrictlyDancing_Tango-04.wav,Tango,17.477,3
Albums-StrictlyDancing_Tango-04.wav,Tango,17.983,4
Albums-StrictlyDancing_Tango-04.wav,Tango,18.487,1
Albums-StrictlyDancing_Tango-04.wav,Tango,19.0,2
Albums-StrictlyDancing_Tango-04.wav,Tango,19.51,3
Albums-StrictlyDancing_Tango-04.wav,Tango,20.023,4
Albums-StrictlyDancing_Tango-04.wav,Tango,20.533,1
Albums-StrictlyDancing_Tango-04.wav,Tango,21.04,2
Albums-StrictlyDancing_Tango-04.wav,Tango,21.55,3
Albums-StrictlyDancing_Tango-04.wav,Tango,22.057,4
Albums-StrictlyDancing_Tango-04.wav,Tango,22.56,1
Albums-StrictlyDancing_Tango-04.wav,Tango,23.06,2
Albums-StrictlyDancing_Tango-04.wav,Tango,23.563,3
Albums-StrictlyDancing_Tango-04.wav,Tango,24.073,4
Albums-StrictlyDancing_Tango-04.wav,Tango,24.587,1
Albums-StrictlyDancing_Tango-04.wav,Tango,25.093,2
Albums-StrictlyDancing_Tango-04.wav,Tango,25.603,3
Albums-StrictlyDancing_Tango-04.wav,Tango,26.11,4
Albums-StrictlyDancing_Tango-04.wav,Tango,26.62,1
Albums-StrictlyDancing_Tango-04.wav,Tango,27.12,2
Albums-StrictlyDancing_Tango-04.wav,Tango,27.61,3
Albums-StrictlyDancing_Tango-04.wav,Tango,28.117,4
Albums-StrictlyDancing_Tango-04.wav,Tango,28.623,1
Albums-StrictlyDancing_Tango-04.wav,Tango,29.143,2
Albums-StrictlyDancing_Tango-04.wav,Tango,29.647,3
